sample_name,time_minutes_,mass_mg_,delta_mass_,dm_dt_minute_,sorption_temp_celsius_,measured_rh,target_rh,rounded_rh,stage_id,direction,reference_mass_m0,flat_equilibrium_mass,mass_change_pct,equilibrium_capacity_pct
0.25M13 sample 3:0:90:0 0.002% stop 30min:12hr:2024:05:31 15:04:20,0.0,2.2777,45.554,-404.6592,25.1,0.01,0.0,0.0,1,Baseline,2.12649,2.1273,7.110778795103662,0.038090938588941275
0.25M13 sample 3:0:90:0 0.002% stop 30min:12hr:2024:05:31 15:04:20,1.0,2.2496,44.992,187.9397,25.1,0.01,0.0,0.0,1,Baseline,2.12649,2.1273,5.78935240701814,0.038090938588941275
0.25M13 sample 3:0:90:0 0.002% stop 30min:12hr:2024:05:31 15:04:20,2.01,2.2262,44.524,776.6469,25.1,0.01,0.0,0.0,1,Baseline,2.12649,2.1273,4.6889475144486905,0.038090938588941275
0.25M13 sample 3:0:90:0 0.002% stop 30min:12hr:2024:05:31 15:04:20,3.01,2.2113,44.226,751.0519,25.1,0.01,0.0,0.0,1,Baseline,2.12649,2.1273,3.988262347812595,0.038090938588941275
0.25M13 sample 3:0:90:0 0.002% stop 30min:12hr:2024:05:31 15:04:20,4.01,2.2011,44.022,58.6933,25.1,0.01,0.0,0.0,1,Baseline,2.12649,2.1273,3.5085986766925705,0.038090938588941275
0.25M13 sample 3:0:90:0 0.002% stop 30min:12hr:2024:05:31 15:04:20,5.01,2.1935,43.87,-0.3324,25.0,0.01,0.0,0.0,1,Baseline,2.12649,2.1273,3.1512022158580475,0.038090938588941275
0.25M13 sample 3:0:90:0 0.002% stop 30min:12hr:2024:05:31 15:04:20,6.02,2.1878,43.756,-0.2291,25.1,0.01,0.0,0.0,1,Baseline,2.12649,2.1273,2.883154870232176,0.038090938588941275
0.25M13 sample 3:0:90:0 0.002% stop 30min:12hr:2024:05:31 15:04:20,7.03,2.183,43.66,-0.1619,25.1,0.01,0.0,0.0,1,Baseline,2.12649,2.1273,2.657430789705093,0.038090938588941275
0.25M13 sample 3:0:90:0 0.002% stop 30min:12hr:2024:05:31 15:04:20,8.03,2.1792,43.584,-0.1224,25.1,0.01,0.0,0.0,1,Baseline,2.12649,2.1273,2.478732559287832,0.038090938588941275
0.25M13 sample 3:0:90:0 0.002% stop 30min:12hr:2024:05:31 15:04:20,9.03,2.176,43.52,-0.0969,25.0,0.01,0.0,0.0,1,Baseline,2.12649,2.1273,2.3282498389364714,0.038090938588941275
0.25M13 sample 3:0:90:0 0.002% stop 30min:12hr:2024:05:31 15:04:20,10.03,2.1732,43.464,-0.0795,25.0,0.01,0.0,0.0,1,Baseline,2.12649,2.1273,2.19657745862901,0.038090938588941275
0.25M13 sample 3:0:90:0 0.002% stop 30min:12hr:2024:05:31 15:04:20,11.03,2.1708,43.416,-0.0668,25.0,0.01,0.0,0.0,1,Baseline,2.12649,2.1273,2.0837154183654687,0.038090938588941275
0.25M13 sample 3:0:90:0 0.002% stop 30min:12hr:2024:05:31 15:04:20,12.03,2.1685,43.37,-0.0573,25.0,0.01,0.0,0.0,1,Baseline,2.12649,2.1273,1.9755559631129176,0.038090938588941275
