stage,RH,direction,best_model,delta_BIC_runner_up,parameters_plus_minus_SE,Avrami_n,component_weights,end_dm_dt,flags
1,0.0,baseline,HYP_SE,110.4866721624312,M_eq1=-1.6126 ± 0.033; k1=0.072361 ± 0.0015; M_eq2=-2.0987 ± 0.045; k2=0.0086939 ± 0.00016; n=0.64817 ± 0.014,0.6481704036983257,w1=0.435; w2=0.565,-0.0016,
2,10.0,sorption,SE2,40.92764350686866,M_eq1=1.7053 ± 0.27; k1=0.31185 ± 0.0049; n1=1.3996 ± 0.11; M_eq2=1.0224 ± 0.28; k2=0.088122 ± 0.023; n2=0.92486 ± 0.16,n1=1.4; n2=0.9249,w1=0.625; w2=0.375,0.0011,components_not_interpretable
3,20.0,sorption,HYP_SE,78.47345134782029,M_eq1=0.85561 ± 0.028; k1=0.38176 ± 0.027; M_eq2=0.24188 ± 0.043; k2=0.019177 ± 0.0013; n=1.0999 ± 0.18,1.0998867122865608,w1=0.780; w2=0.220,0.0002,poorly_identifiable
4,30.0,sorption,SE2,48.64448477234487,M_eq1=0.24574 ± 0.03; k1=0.34126 ± 0.012; n1=2.056 ± 0.32; M_eq2=0.98538 ± 0.05; k2=0.020485 ± 0.00073; n2=0.62983 ± 0.037,n1=2.056; n2=0.6298,w1=0.200; w2=0.800,0.0015,poorly_identifiable
5,40.0,sorption,HYP_SE,84.47024759723945,M_eq1=0.4145 ± 0.026; k1=0.71045 ± 0.1; M_eq2=2.9375 ± 0.029; k2=0.013219 ± 7.6e-05; n=0.95022 ± 0.0083,0.9502202218957317,w1=0.124; w2=0.876,0.001,poorly_identifiable
6,50.0,sorption,SE2,122.54546207305549,M_eq1=2.6185 ± 0.34; k1=0.24074 ± 0.0049; n1=1.2259 ± 0.027; M_eq2=0.81032 ± 0.34; k2=0.082732 ± 0.025; n2=1.146 ± 0.23,n1=1.226; n2=1.146,w1=0.764; w2=0.236,0.0,components_not_interpretable
7,60.0,sorption,SE2,107.45605849140082,M_eq1=2.6264 ± 0.48; k1=0.30229 ± 0.0056; n1=1.6351 ± 0.12; M_eq2=2.2479 ± 0.49; k2=0.10323 ± 0.017; n2=1.212 ± 0.16,n1=1.635; n2=1.212,w1=0.539; w2=0.461,-0.0002,components_not_interpretable
8,70.0,sorption,SE2,108.95571792274131,M_eq1=4.5306 ± 1.9; k1=0.19571 ± 0.0066; n1=1.2766 ± 0.14; M_eq2=2.9076 ± 1.9; k2=0.075374 ± 0.036; n2=1.0658 ± 0.28,n1=1.277; n2=1.066,w1=0.609; w2=0.391,-0.0017,components_not_interpretable; parameter_undetermined
9,80.0,sorption,SE2,175.1670164299485,M_eq1=7.054 ± 1.4; k1=0.11639 ± 0.0031; n1=1.6399 ± 0.13; M_eq2=5.4962 ± 1.4; k2=0.039059 ± 0.0078; n2=1.2239 ± 0.19,n1=1.64; n2=1.224,w1=0.562; w2=0.438,0.0006,components_not_interpretable
10,90.0,sorption,SE2,309.5022330796096,M_eq1=13.419 ± 3.3; k1=0.055279 ± 0.0026; n1=1.3406 ± 0.089; M_eq2=17.47 ± 3.3; k2=0.017343 ± 0.0025; n2=1.1507 ± 0.11,n1=1.341; n2=1.151,w1=0.434; w2=0.566,-0.0036,truncated; selection_provisional; components_not_interpretable
11,80.0,desorption,SE2,446.73367499636424,M_eq1=-22.147 ± 3.2; k1=0.053119 ± 0.00068; n1=1.6566 ± 0.061; M_eq2=-8.5497 ± 3.2; k2=0.023901 ± 0.0052; n2=1.3977 ± 0.23,n1=1.657; n2=1.398,w1=0.721; w2=0.279,-0.0004,components_not_interpretable
12,70.0,desorption,HYP_SE,42.362318051244074,M_eq1=-1.54 ± 0.084; k1=0.013958 ± 0.00088; M_eq2=-11.36 ± 0.091; k2=0.10416 ± 0.00057; n=1.3323 ± 0.011,1.3323348471210819,w1=0.119; w2=0.881,0.0004,poorly_identifiable
13,60.0,desorption,SE2,6.7744063636596366,M_eq1=-5.6721 ± 0.7; k1=0.16509 ± 0.003; n1=1.6017 ± 0.12; M_eq2=-1.7095 ± 0.7; k2=0.052119 ± 0.021; n2=0.91934 ± 0.22,n1=1.602; n2=0.9193,w1=0.768; w2=0.232,-0.0005,components_not_interpretable
